AP1,AP2,AP3,AP4,X,Y
-85,-75,-75,-85,3.1,6.5
-86,-74,-72,-78,3.3,6.5
-86,-68,-70,-75,3.5,6.5
-88,-66,-75,-71,3.7,6.5
-88,-66,-72,-82,3.9,6.5
-89,-70,-70,-84,4.1,6.5
-87,-76,-70,-83,1.3,7
-88,-72,-72,-82,1.5,7
-88,-71,-67,-80,1.7,7
-85,-65,-70,-81,1.9,7
-84,-63,-71,-84,2.1,7
-85,-60,-73,-81,2.3,7
-84,-66,-76,-83,2.5,7
-84,-65,-72,-84,2.7,7
-85,-68,-72,-78,2.9,7
-86,-75,-78,-74,3.1,7
-78,-72,-77,-78,3.3,7
-82,-65,-75,-78,3.5,7
-84,-64,-72,-75,3.7,7
-82,-67,-78,-79,3.9,7
-80,-66,-72,-74,4.1,7
-88,-68,-70,-78,1.3,7.5
-87,-70,-77,-83,1.5,7.5
-87,-60,-76,-85,1.7,7.5
-87,-60,-74,-81,1.9,7.5
-85,-62,-71,-84,2.1,7.5
-86,-63,-75,-83,2.3,7.5
-86,-68,72,-80,2.5,7.5
-85,-70,-74,-81,2.7,7.5
-85,-68,-75,-83,2.9,7.5
-85,-65,-74,-80,3.1,7.5
-77,-60,-73,-79,3.3,7.5
-81,-65,-72,-78,3.5,7.5
-82,-70,-72,-79,3.7,7.5
-83,-64,-70,-78,3.9,7.5
-86,-72,-72,-81,4.1,7.5
-67,-85,-82,-63,4.1,0
-72,-85,-70,-65,4.3,0
-72,-71,-71,-78,4.5,0
-76,-71,-62,-66,4.7,0
-72,-83,-84,-64,4.9,0
-72,-81,-66,-70,5.1,0
-78,-86,-72,-58,5.3,0
-80,-86,-64,-60,5.5,0
-78,-84,-75,-66,5.7,0
-84,-83,-70,-62,5.9,0
-82,-86,-72,-58,6.1,0
-70,-83,-80,-60,4.1,0.5
-80,-83,-71,-60,4.3,0.5
-77,-83,-68,-58,4.5,0.5
-72,-83,-65,-61,4.7,0.5
-77,-83,-64,-58,4.9,0.5
-76,-84,-74,-60,5.1,0.5
-77,-86,-72,-55,5.3,0.5
-79,-86,-65,-60,5.5,0.5
-76,-88,-70,-61,5.7,0.5
-73,-86,-71,-62,5.9,0.5
-72,-84,-74,-64,6.1,0.5
-68,-83,-78,-60,4.1,1
-70,-83,-74,-64,4.3,1
-76,-83,-70,-65,4.5,1
-76,-83,-68,-54,4.7,1
-77,-84,-68,-57,4.9,1
-78,-86,-69,-60,5.1,1
-74,-88,-68,-60,5.3,1
-70,-88,-73,-58,5.5,1
-77,-87,-66,-58,5.7,1
-73,-89,-70,-68,5.9,1
-81,-85,-72,-64,6.1,1
-70,-82,-75,-62,4.1,1.5
-75,-82,-77,-66,4.3,1.5
-73,-84,-78,-60,4.5,1.5
-72,-88,-66,-58,4.7,1.5
-71,-88,-66,-57,4.9,1.5
-78,-88,-65,-60,5.1,1.5
-82,-87,-68,-54,5.3,1.5
-72,-88,-68,-56,5.5,1.5
-77,-88,-65,-63,5.7,1.5
-83,-88,-75,-60,5.9,1.5
-80,-89,-77,-52,6.1,1.5
-71,-88,-70,-65,4.1,3.35
-72,-84,-66,-68,4.3,3.35
-77,-86,-73,-60,4.5,3.35
-73,-86,-81,-66,4.7,3.35
-74,-81,-66,-62,4.9,3.35
-80,-81,-61,-56,5.1,3.35
-74,-86,-68,-58,5.3,3.35
-79,-86,-78,-66,5.5,3.35
-79,-83,-68,-55,5.7,3.35
-78,-83,-63,-56,5.9,3.35
-80,-83,-63,-61,6.1,3.35
-78,-82,-60,-58,6.3,3.35
-78,-84,-70,-54,6.5,3.35
-84,-84,-66,-51,6.7,3.35
-83,-86,-61,-45,6.9,3.35
-83,-82,-68,-40,7.1,3.35
-84,-84,-65,-44,7.3,3.35
-86,-80,-74,-44,7.5,3.35
-83,-88,-72,-52,7.7,3.35
-84,-84,-70,-49,7.9,3.35
-84,-85,-71,-52,8.1,3.35
-77,-86,-58,-60,4.1,3.85
-63,-84,-64,-63,4.3,3.85
-72,-84,-59,-61,4.5,3.85
-78,-88,-64,-68,4.7,3.85
-77,-86,-61,-73,4.9,3.85
-72,-84,-64,-63,5.1,3.85
-73,-84,-63,-74,5.3,3.85
-72,-84,-72,-59,5.5,3.85
-70,-81,-66,-60,5.7,3.85
-77,-83,-66,-66,5.9,3.85
-80,-84,-70,-66,6.1,3.85
-71,-83,-71,-61,6.3,3.85
-84,-81,-67,-55,6.5,3.85
-87,-81,-72,-60,6.7,3.85
-83,-81,-66,-53,6.9,3.85
-81,-86,-66,-50,7.1,3.85
-80,-88,-71,-46,7.3,3.85
-84,-80,-74,-46,7.5,3.85
-84,-86,-74,-60,7.7,3.85
-84,-84,-70,-55,7.9,3.85
-85,-84,-72,-57,8.1,3.85
-82,-84,-60,-64,4.1,4.35
-80,-84,-65,-67,4.3,4.35
-75,-83,-70,-55,4.5,4.35
-78,-83,-61,-58,4.7,4.35
-84,-81,-61,-61,4.9,4.35
-73,-85,-63,-70,5.1,4.35
-74,-84,-66,-70,5.3,4.35
-78,-83,-64,-67,5.5,4.35
-78,-76,-60,-67,5.7,4.35
-84,-82,-60,-63,5.9,4.35
-77,-75,-58,-62,6.1,4.35
